Country or territory of asylum or residence,Country or territory of origin,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations<sup>**</sup>,Total refugees and people in refugee-like situations assisted by UNHCR
Canada,Lebanon,2016,741,,741,
Canada,Lebanon,2015,867,,867,
Canada,Lebanon,2014,1024,,1024,
Canada,Lebanon,2013,1103,,1103,
Canada,Lebanon,2012,1104,,1104,
Canada,Lebanon,2011,1104,,1104,
Canada,Lebanon,2010,1133,,1133,
Canada,Lebanon,2009,1128,,1128,
Canada,Lebanon,2008,1190,,1190,
Canada,Lebanon,2007,1218,,1218,
Canada,Lebanon,2006,684,,684,
Canada,Lebanon,2005,591,,591,
Canada,Lebanon,2004,510,,510,
Canada,Lebanon,2003,521,,521,
Canada,Lebanon,2002,560,,560,
Canada,Lebanon,2001,653,,653,
Canada,Lebanon,2000,548,,548,
Canada,Lebanon,1999,596,,596,
Canada,Lebanon,1998,723,,723,
Canada,Lebanon,1997,932,,932,
Canada,Lebanon,1996,1274,,1274,
Canada,Lebanon,1995,3177,,3177,
Canada,Lebanon,1994,5298,,5298,
