,country,year,donations,receipts,net_donations,cumulative_donations,,,,
1,Argentina,1980,0,0,0,0,,,,
2,Argentina,1981,0,0,0,0,,,,
3,Argentina,1982,0,0,0,0,,,,
4,Argentina,1983,0,0,0,0,,,,
5,Argentina,1984,0,0,0,0,,,,
6,Argentina,1985,0,0,0,0,,,,
7,Argentina,1986,0,0,0,0,,,,
8,Argentina,1987,0,0,0,0,,,,
9,Argentina,1988,0,0,0,0,,,,
10,Argentina,1989,0,0,0,0,,,,
11,Argentina,1990,0,0,0,0,,,,
12,Argentina,1991,0,0,0,0,,,,
13,Argentina,1992,0,0,0,0,,,,
14,Argentina,1993,0,0,0,0,,,,
15,Argentina,1994,0,0,0,0,,,,
16,Argentina,1995,0,0,0,0,,,,
17,Argentina,1996,0,0,0,0,,,,
18,Argentina,1997,0,0,0,0,,,,
19,Argentina,1998,3,0,3,3,,,,
20,Argentina,1999,3,0,3,6,,,,
21,Argentina,2000,3,0,3,9,,,,
22,Argentina,2001,3,0,3,12,,,,
23,Argentina,2002,3,0,3,15,,,,
24,Argentina,2003,4,0,4,19,,,,
25,Argentina,2004,4,0,4,23,,,,
26,Argentina,2005,4,0,4,27,,,,
27,Argentina,2006,4,0,4,31,,,,
28,Argentina,2007,4,0,4,35,,,,
29,Argentina,2008,0,0,0,35,,,,
30,Argentina,2009,0,0,0,35,,,,
31,Argentina,2010,0,0,0,35,,,,
32,Argentina,2011,0,0,0,35,,,,
33,Argentina,2012,0,0,0,35,,,,
34,Argentina,2013,0,0,0,35,,,,
35,Argentina,2014,0,0,0,35,,,,
36,Argentina,2015,0,0,0,35,,,,
37,Argentina,2016,1,0,1,36,,,,
38,Armenia,1980,0,0,0,0,,,,
39,Armenia,1981,0,0,0,0,,,,
40,Armenia,1982,0,0,0,0,,,,
41,Armenia,1983,0,0,0,0,,,,
42,Armenia,1984,0,0,0,0,,,,
43,Armenia,1985,0,0,0,0,,,,
44,Armenia,1986,0,0,0,0,,,,
45,Armenia,1987,0,0,0,0,,,,
46,Armenia,1988,0,0,0,0,,,,
47,Armenia,1989,0,0,0,0,,,,
48,Armenia,1990,0,0,0,0,,,,
49,Armenia,1991,0,0,0,0,,,,
50,Armenia,1992,0,0,0,0,,,,
51,Armenia,1993,0,0,0,0,,,,
52,Armenia,1994,0,0,0,0,,,,
53,Armenia,1995,0,0,0,0,,,,
54,Armenia,1996,0,0,0,0,,,,
55,Armenia,1997,0,0,0,0,,,,
56,Armenia,1998,0,0,0,0,,,,
57,Armenia,1999,0,0,0,0,,,,
58,Armenia,2000,0,0,0,0,,,,
59,Armenia,2001,0,0,0,0,,,,
