,country,year,donations,receipts,net_donations,,,,,
1,Argentina,2016,1,0,1,,,,,
2,Argentina,2015,0,0,0,,,,,
3,Argentina,2014,0,0,0,,,,,
4,Argentina,2013,0,0,0,,,,,
5,Argentina,2012,0,0,0,,,,,
6,Argentina,2011,0,0,0,,,,,
7,Argentina,2010,0,0,0,,,,,
8,Argentina,2009,0,0,0,,,,,
9,Argentina,2008,0,0,0,,,,,
10,Argentina,2007,4,0,4,,,,,
11,Argentina,2006,4,0,4,,,,,
12,Argentina,2005,4,0,4,,,,,
13,Argentina,2004,4,0,4,,,,,
14,Argentina,2003,4,0,4,,,,,
15,Argentina,2002,3,0,3,,,,,
16,Argentina,2001,3,0,3,,,,,
17,Argentina,2000,3,0,3,,,,,
18,Argentina,1999,3,0,3,,,,,
19,Argentina,1998,3,0,3,,,,,
20,Argentina,1997,0,0,0,,,,,
21,Argentina,1996,0,0,0,,,,,
22,Argentina,1995,0,0,0,,,,,
23,Argentina,1994,0,0,0,,,,,
24,Argentina,1993,0,0,0,,,,,
25,Argentina,1992,0,0,0,,,,,
26,Argentina,1991,0,0,0,,,,,
27,Argentina,1990,0,0,0,,,,,
28,Argentina,1989,0,0,0,,,,,
29,Argentina,1988,0,0,0,,,,,
30,Argentina,1987,0,0,0,,,,,
31,Argentina,1986,0,0,0,,,,,
32,Argentina,1985,0,0,0,,,,,
33,Argentina,1984,0,0,0,,,,,
34,Argentina,1983,0,0,0,,,,,
35,Argentina,1982,0,0,0,,,,,
36,Argentina,1981,0,0,0,,,,,
37,Argentina,1980,0,0,0,,,,,
38,Armenia,2016,19,0,19,,,,,
39,Armenia,2015,19,0,19,,,,,
40,Armenia,2014,18,0,18,,,,,
41,Armenia,2013,17,0,17,,,,,
42,Armenia,2012,14,0,14,,,,,
43,Armenia,2011,14,0,14,,,,,
44,Armenia,2010,14,0,14,,,,,
45,Armenia,2009,14,0,14,,,,,
46,Armenia,2008,14,0,14,,,,,
47,Armenia,2007,14,0,14,,,,,
48,Armenia,2006,14,0,14,,,,,
49,Armenia,2005,0,0,0,,,,,
50,Armenia,2004,1,0,1,,,,,
51,Armenia,2003,1,0,1,,,,,
52,Armenia,2002,3,0,3,,,,,
53,Armenia,2001,0,0,0,,,,,
54,Armenia,2000,0,0,0,,,,,
55,Armenia,1999,0,0,0,,,,,
56,Armenia,1998,0,0,0,,,,,
57,Armenia,1997,0,0,0,,,,,
