civilization,start,end,Country,Profeession,,,,,
Ricardo Darn,1957,2020,Argentina,Director,,,,,
Yamila Diaz-Rahi,1976,2020,Argentina,Model,,,,,
Carlos Menin,1930,2020,Argentina,President,,,,,
Felipe Sapag,1917,2010,Argentina,Politician,,,,,
Daniel Mustafa,1984,2020,Argentina,Athlete,,,,,
Antonio Mohamed,1970,2020,Argentina,Athlete,,,,,
Sebastian Jabif,1973,2020,Argentina,Athlete,,,,,
Dario Husain,1976,2020,Argentina,Athlete,,,,,
Claudio Husain,1974,2020,Argentina,Athlete,,,,,
Omar Hasan,1971,2020,Argentina,Athlete,,,,,
Florencia Habif,1993,2020,Argentina,Athlete,,,,,
Elias Bazzi,1981,2020,Argentina,Athlete,,,,,
Omar Asad,1971,2020,Argentina,Athlete,,,,,
Julio Daniel Asad,1953,2020,Argentina,Athlete,,,,,
Antonio Alegre,1924,2010,Argentina,Athlete,,,,,
Hugo Omar Seleme,1968,2020,Argentina,Politician,,,,,
Luz Sapag,1944,2010,Argentina,Politician,,,,,
Jorge sapag,1951,2020,Argentina,Politician,,,,,
Elias Sapag,1911,1993,Argentina,Politician,,,,,
Juan Luis Manzur,1969,2020,Argentina,Politician,,,,,
Juliana Awada,1974,2020,Argentina,First Lady,,,,,
Alfredo Avelin,1927,2012,Argentina,Politician,,,,,
Fady Fatrouni,1987,2020,Australia,Singer,,,,,
Robbie Farah,1984,2020,Australia,Athlete,,,,,
Bachar Houli,1988,2020,Australia,Athlete,,,,,
Julian Khazzouh,1986,2020,Australia,Athlete,,,,,
Andrew Nabbout,1992,2020,Australia,Athlete,,,,,
Sabrina Houssami,1986,2020,Australia,Model,,,,,
Jessica Kahawaty,1988,2020,Australia,Model,,,,,
Joseph Assaf,1944,2020,Australia,Businessman,,,,,
Ahmed Fahour,1966,2020,Australia,Businessman,,,,,
John Ibrahim,2968,2020,Australia,Businessman,,,,,
Jacques Nasser,1947,2020,Australia,Businessman,,,,,
John Joseph Symond,1947,2020,Australia,Entrepreneur,,,,,
Joe Saba,1940,2020,Australia,Fashion Designer,,,,,
Steven Khalil,1974,2020,Australia,Fashion Designer,,,,,
Jeanetter Francis,1985,2020,Australia,Journalist,,,,,
Doris Younane,1963,2020,Australia,Actor,,,,,
Petra Yared,1979,2020,Australia,Actor,,,,,
Rob Shehadie,1977,2020,Australia,Actor,,,,,
Mireille Eid,1961,2020,Australia,Writer,,,,,
Nada Awar Jarrar,1958,2020,Australia,Writer,,,,,
David Malouf,1934,2020,Australia,Writer,,,,,
Wadih Saadeh,1948,2020,Australia,Poet,,,,,
Michael Sven Sukkar,1981,2020,Australia,Politician,,,,,
Jackie Trad,1972,2020,Australia,Politician,,,,,
Nicholas Shehadie,1926,2018,Australia,Politician,,,,,
Marie Bashir,1930,2020,Australia,Politician,,,,,
Alexander Alam,1896,1983,Australia,Politician,,,,,
John Ajaka,1956,2020,Australia,Politician,,,,,
Dyab Abou Jahjah,1971,2020,Belgium,Political Activist,,,,,
Khalil Sehnaoui,1975,2020,Belgium,Hacker,,,,,
Michel Temer,1940,2020,Brazil,Politician,,,,,
Daniella Sarahyba,1984,2020,Brazil,Model,,,,,
Maya Gabeira,1987,2020,Brazil,Athlete,,,,,
Edmond Safra,1932,1999,Brazil,Banker,,,,,
Antonio Abujmara,1932,2015,Brazil,Actor,,,,,
Sergio Assad,1952,2020,Brazil,Composer,,,,,
Chauki Maddi,1929,2018,Brazil,Composer,,,,,
Milton Hatoum,1952,2020,Brazil,Writer,,,,,
Maria de Lourdes da Silveira,1966,2020,Brazil,Actor,,,,,
Raduan Nassar,1935,2020,Brazil,Writer,,,,,
Amir Sater,1956,2020,Brazil,Singer,,,,,
Wanderlea Charlup Boere Salim,1946,2020,Brazil,Singer,,,,,
Felipe Nasr,1992,2020,Brazil,Athlete,,,,,
Tony Kannan,1974,2020,Brazil,Athlete,,,,,
Allam Khodair,1981,2020,Brazil,Athlete,,,,,
Moise Yaciub Safra,1934,2014,Brazil,Businessman,,,,,
