Country or territory of asylum or residence,Country or territory of origin,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations<sup>**</sup>,Total refugees and people in refugee-like situations assisted by UNHCR
Lebanon,Syrian Arab Rep.,2016,1005503,1005503,1005503,1005503
Lebanon,Syrian Arab Rep.,2015,1062690,1062690,1062690,1062690
Lebanon,Syrian Arab Rep.,2014,1147494,1147494,1147494,1147494
Lebanon,Syrian Arab Rep.,2013,851284,851284,851284,851284
Lebanon,Syrian Arab Rep.,2012,126755,126755,126939,126939
Lebanon,Syrian Arab Rep.,2011,93,93,124,124
Lebanon,Syrian Arab Rep.,2010,40,40,64,64
Lebanon,Syrian Arab Rep.,2009,60,60,90,60
Lebanon,Syrian Arab Rep.,2008,59,59,84,59
Lebanon,Syrian Arab Rep.,2007,29,29,48,29
Lebanon,Syrian Arab Rep.,2006,6,6,6,6
Lebanon,Syrian Arab Rep.,1988,520,,520,
Lebanon,Syrian Arab Rep.,1986,520,,520,
Lebanon,Syrian Arab Rep.,1985,590,,590,
Lebanon,Syrian Arab Rep.,1984,520,,520,
Lebanon,Syrian Arab Rep.,1983,520,,520,
Lebanon,Syrian Arab Rep.,1982,500,,500,
Lebanon,Syrian Arab Rep.,1981,500,,500,
Lebanon,Syrian Arab Rep.,1980,500,,500,
Lebanon,Syrian Arab Rep.,1979,500,,500,
