,country,year,donations,receipts,net_donations,,
1,Afghanistan,2016,22,0,22,,1147494
2,Afghanistan,2015,20,0,20,,
3,Afghanistan,2014,19,0,19,,
4,Afghanistan,2013,16,0,16,,
5,Afghanistan,2012,12,0,12,,
6,Afghanistan,2011,5,0,5,,
7,Afghanistan,2010,9,0,9,,
8,Afghanistan,2009,8,0,8,,
9,Afghanistan,2008,8,0,8,,
10,Afghanistan,2007,9,0,9,,
11,Afghanistan,2006,6,0,6,,
12,Afghanistan,2005,13,0,13,,
13,Afghanistan,2004,31,0,31,,
14,Afghanistan,2003,49,0,46,,
15,Afghanistan,2002,47,0,44,,
16,Afghanistan,2001,48,0,45,,
17,Afghanistan,2000,58,0,49,,
18,Afghanistan,1999,550,0,92,,
19,Afghanistan,1998,550,0,92,,
20,Afghanistan,1997,550,0,92,,
21,Afghanistan,1996,550,0,92,,
22,Afghanistan,1995,550,0,92,,
23,Afghanistan,1994,550,0,92,,
24,Afghanistan,1993,550,0,92,,
25,Afghanistan,1992,90,0,60,,
26,Afghanistan,1991,100,0,64,,
27,Afghanistan,1990,300,0,82,,
28,Afghanistan,1989,50,0,47,,
29,Afghanistan,1988,50,0,47,,
30,Afghanistan,1987,0,0,0,,
31,Afghanistan,1986,100,0,64,,
32,Afghanistan,1985,0,0,0,,
33,Afghanistan,1984,0,0,0,,
34,Afghanistan,1983,0,0,0,,
35,Afghanistan,1982,0,0,0,,
36,Afghanistan,1981,0,0,0,,
37,Afghanistan,1980,0,0,0,,
38,Afghanistan,1979,0,0,0,,
39,Afghanistan,1978,0,0,0,,
40,Afghanistan,1977,0,0,0,,
41,Afghanistan,1976,0,0,0,,
42,Algeria,2016,1,0,1,,
43,Algeria,2015,0,0,0,,
44,Algeria,2014,0,0,0,,
45,Algeria,2013,0,0,0,,
46,Algeria,2012,0,0,0,,
47,Algeria,2011,2,0,2,,
48,Algeria,2010,4,0,4,,
49,Algeria,2009,4,0,4,,
50,Algeria,2008,4,0,4,,
51,Algeria,2007,4,0,4,,
52,Algeria,2006,5,0,5,,
53,Algeria,2005,11,0,11,,
54,Algeria,2004,21,0,21,,
55,Algeria,2003,27,0,27,,
56,Algeria,2002,36,0,36,,
57,Algeria,2001,38,0,38,,
58,Algeria,2000,46,0,43,,
59,Algeria,1999,76,0,56,,
60,Algeria,1998,54,0,48,,
61,Algeria,1997,0,0,0,,
62,Algeria,1996,0,0,0,,
63,Algeria,1995,0,0,0,,
64,Algeria,1994,0,0,0,,
65,Algeria,1993,0,0,0,,
66,Algeria,1992,0,0,0,,
67,Algeria,1991,0,0,0,,
68,Algeria,1990,0,0,0,,
69,Algeria,1989,0,0,0,,
70,Algeria,1988,0,0,0,,
71,Algeria,1987,0,0,0,,
72,Algeria,1986,0,0,0,,
73,Algeria,1985,0,0,0,,
74,Algeria,1984,0,0,0,,
75,Algeria,1983,0,0,0,,
76,Algeria,1982,0,0,0,,
77,Algeria,1981,0,0,0,,
78,Algeria,1980,0,0,0,,
79,Algeria,1979,0,0,0,,
80,Algeria,1978,0,0,0,,
81,Algeria,1977,0,0,0,,
82,Algeria,1976,0,0,0,,
83,Armenia,2016,0,0,0,,
84,Armenia,2015,0,0,0,,
85,Armenia,2014,0,0,0,,
86,Armenia,2013,0,0,0,,
87,Armenia,2012,1,0,1,,
88,Armenia,2011,1,0,1,,
89,Armenia,2010,1,0,1,,
90,Armenia,2009,0,0,0,,
91,Armenia,2008,0,0,0,,
92,Armenia,2007,0,0,0,,
93,Armenia,2006,0,0,0,,
94,Armenia,2005,0,0,0,,
95,Armenia,2004,0,0,0,,
96,Armenia,2003,0,0,0,,
97,Armenia,2002,0,0,0,,
98,Armenia,2001,0,0,0,,
99,Armenia,2000,0,0,0,,
100,Armenia,1999,0,0,0,,
101,Armenia,1998,0,0,0,,
102,Armenia,1997,0,0,0,,
103,Armenia,1996,0,0,0,,
104,Armenia,1995,0,0,0,,
105,Armenia,1994,0,0,0,,
106,Armenia,1993,0,0,0,,
107,Armenia,1992,0,0,0,,
108,Armenia,1991,0,0,0,,
109,Armenia,1990,0,0,0,,
110,Armenia,1989,0,0,0,,
111,Armenia,1988,300,0,82,,
112,Armenia,1987,300,0,82,,
113,Armenia,1986,300,0,82,,
114,Armenia,1985,300,0,82,,
115,Armenia,1984,300,0,82,,
116,Armenia,1983,300,0,82,,
117,Armenia,1982,300,0,82,,
118,Armenia,1981,300,0,82,,
119,Armenia,1980,300,0,82,,
120,Armenia,1979,300,0,82,,
